,y
2380,1
5800,0
365,0
2897,1
4233,1
2439,0
3023,0
5680,0
2540,0
3674,0
2545,0
993,0
1589,1
2095,1
5774,0
2808,0
5054,0
605,0
4453,1
1951,0
2138,0
1622,0
495,0
5698,0
4186,1
185,0
757,0
2611,0
4723,0
2071,0
4649,1
2601,0
588,0
18,0
4343,1
1784,1
3612,0
713,0
5534,0
4904,1
521,1
5169,0
199,0
4714,0
3185,1
3362,0
3687,1
535,0
1141,0
1276,0
997,0
1304,0
1947,0
5692,0
5352,0
4062,0
1297,0
1975,1
2058,0
2044,0
5853,0
5922,1
1018,0
2881,0
1557,0
429,1
655,1
69,0
2877,0
4197,0
889,0
1659,0
4690,0
1179,0
2695,0
3556,0
5506,1
3735,1
2453,0
1468,1
3127,0
5553,0
2424,0
2372,1
1443,0
1699,0
2178,0
741,0
1006,0
1230,0
2670,0
233,1
1878,0
129,0
4292,1
1490,0
4398,0
2860,0
3179,0
3040,0
3677,1
5960,0
2768,0
5045,0
624,1
2006,1
180,1
3414,1
4619,0
2009,0
1393,0
3577,0
2377,1
5980,0
4182,1
3853,0
3087,0
2930,0
4772,0
2688,1
5325,0
1575,0
4968,0
2585,1
3930,1
5437,1
3255,0
477,0
639,0
5616,0
1161,0
881,0
5665,0
1841,1
1024,0
144,0
4738,0
5515,0
5153,1
3510,0
3031,0
67,1
4638,1
295,1
3744,1
76,0
5025,0
122,0
1916,1
662,1
3885,1
957,1
